card_id,set_id,set_code,set_rarity,set_rarity_code
2511,0f9b72aaa5f16958bafed45b15ef3bf6,EN005,Super Rare,(SR)
2511,439a908515f9385a6ede0932948a6ec5,EN020,Rare,(R)
2511,a044f1d51eeaaab32a0ab95712836f19,EN232,Common,(C)
10000,95e80dffc19d01e68116e8b6e37ae5dc,EN10K,10000 Secret Rare,(10000ScR)
27551,761a6f4c81e2e236659f49577db80ec2,EN063,Common,(C)
27551,a9e749135da086d24aa88f2cb23d6313,EN037,Common,(C)
27551,ad2d9b45529d2768166f2f97820eca10,EN037,Common,(C)
27551,dbd1751a944eea23d37f49ca2502f89a,EN039,Common,(C)
32864,8d1bb889266b35581fb2812b9d5f4013,014,Common,(C)
32864,8d1bb889266b35581fb2812b9d5f4013,E010,Common,(C)
32864,8d1bb889266b35581fb2812b9d5f4013,EN014,Common,(C)
35699,ebc400e21e238014d979aaf26917d906,EN086,Super Rare,(SR)
39015,135e2ace389bafa490adfcd15a833a0d,EN011,Common,(C)
41546,9df7fe0fb64973a123428222f7a766f1,EN010,Rare,(R)
41546,bb49627c5be3da6f8993300fb5249a76,EN078,Ultra Rare,(UR)
41546,c6f3e50089b17275c8462f40263e585d,EN065,Rare,(R)
41777,09ce0386f2a41a163a672ad1f91c1597,EN049,Duel Terminal Rare Parallel Rare,(DRPR)
41777,a7f06845aad10dca0a4793da01b87590,EN029,Super Rare,(SR)
43227,1207a8b2f774090ec294ce41782874bc,EN036,Super Rare,(SR)
44818,09b9e670c1677464aa4950091c8577b2,EN027,Common,(C)
50755,70a3ad36116325ebc64af8848ae14adc,EN003,Super Rare,(SR)
50755,7c6e77a5a83de29d749226ae0eb952f2,EN100,Super Rare,(SR)
50755,836b113bba3ee3f9954c545ef951f227,EN035,Common,(C)
50755,9577da77cafee3a16f17f676edcf6b18,EN011,Rare,(R)
50755,a1bb854dbdd66c37ffaf43b0372423d8,EN039,Common,(C)
50755,b16caf880089062bfa66f00739d25801,EN097,Common,(C)
50755,b6a053e6532fd01877970f36bf03a6d1,ENC37,Common,(C)
50755,c1158a516dc67cd764c23d402a5aadcf,EN036,Common,(C)
50755,cab138fc38b513ca1ba6ebfdfa49194c,EN020,Common,(C)
50755,dc9e9b7ce61fd372e15eb79faac0a51e,ENY38,Common,(C)
50755,fd2f480e7d4c9f687cf9854d1714e5e5,ENA16,Common,(C)
56889,51eeba1e5fd0972879c04cd0bc04ad7b,EN091,Common,(C)
56889,b32d3069a055a23ea9aa0b03cdb8f04f,EN033,Super Rare,(SR)
62121,ac6b7e2c6239479038488c7a86ab2084,073,Common,(C)
62121,ac6b7e2c6239479038488c7a86ab2084,E073,Common,(C)
62121,ac6b7e2c6239479038488c7a86ab2084,EN073,Common,(C)
96540,d34642d654058d0cdefc4c4b4b0032bd,EN063,Super Rare,(SR)
98905,2280df8b0216253b8059876bc8745f43,EN069,Common,(C)
98905,5d0ab56d0e9df0ad8025957b1624b856,EN045,Common,(C)
98905,c6f3e50089b17275c8462f40263e585d,EN221,Common,(C)
102380,005eba16ef83bd8139478a7055c438c0,EN117,Rare,(R)
102380,03e90883b2113627cd020c51bb3710d2,EN034,Rare,(R)
102380,089e09d57dbd9a68383667eeb3ed84d1,EN008,Duel Terminal Ultra Parallel Rare,(DUPR)
102380,48663456bb8f25632ab0cdb8758bb068,EN013,Common,(C)
102380,496bd78ff7f6eef0f3c2b1d2b2dc17bf,EN014,Ultra Rare,(UR)
102380,5c47e88732f386f382d2e2dae097a44f,EN051,Ultra Rare,(UR)
102380,5d1e307284f3af9c297a813c0f4080f9,SE4,Ultra Rare,(UR)
102380,a399605f0dad9ea9479460414f6a2c8a,EN082,Super Rare,(SR)
102380,a5cea1e77acd3ef56295a1f13c175de9,EN001,Super Rare,(SR)
102380,a5cea1e77acd3ef56295a1f13c175de9,EN001,Ultra Rare,(UR)
102380,c1ec5010cd242bfdc8adb23e84f9e5f8,EN006,Duel Terminal Super Parallel Rare,(DSPR)
102380,d7fe0009735441f06c39d9369e13911e,ENB01,Common,(C)
102380,e3a8225277580d9dac45d0e20f00b46a,107,Secret Rare,(ScR)
102380,f80659b9cb968d6a814e8cddd662149f,EN002,Ultra Rare,(UR)
109401,772347bbd0dbe7332c631a75f7af5f0a,EN043,Super Rare,(SR)
111280,47985f00967ea887b68a5e69052b13d1,ENA17,Common,(C)
111280,9df7fe0fb64973a123428222f7a766f1,EN059,Common,(C)
