id,set_name,set_code,num_of_cards,tcg_date
a9cc1e0613d1b88098a29464879285a2,Summoned Skull Sample promotional card,SDY,1,2001-01-01
8d1bb889266b35581fb2812b9d5f4013,Legend of Blue Eyes White Dragon,LOB,355,2002-03-08
91883058af5c8218e84c2851f8b65e66,Yu-Gi-Oh! Dark Duel Stories promotional cards,DDS,6,2002-03-19
02f27695ca4bdcabb9641d8357fbcb9a,Starter Deck: Kaiba,SDK,96,2002-03-29
d36de46a616f5afc6714a16c2cd44e38,Starter Deck: Yugi,SDY,95,2002-03-29
ac6b7e2c6239479038488c7a86ab2084,Metal Raiders,MRD,432,2002-06-26
8ebf18c911c0733715eb38af8e85fa71,Tournament Pack: 1st Season,TP1,60,2002-09-01
0c74b9f9bffac3c9f054cd9bd4fdf9ab,Magic Ruler,MRL,235,2002-09-16
264ab25093b50bb322bdff24076a8645,Spell Ruler,SRL,208,2002-09-16
699f565eac16cb385f64a98e4109b84a,Tournament Pack: 2nd Season,TP2,30,2002-10-01
638cc352ccd256440043a22c74c6343d,Booster Pack Collectors Tins 2002,BPT,6,2002-10-04
0c202ec142984f12ab2b77fea86ba266,Yu-Gi-Oh! The Eternal Duelist Soul promotional cards,EDS,3,2002-10-15
6eba62842a4a2383961d7f49f358eee3,Pharaoh's Servant,PSV,315,2002-10-20
b15448b5205427858c1c5479de33acce,Yu-Gi-Oh! Forbidden Memories promotional cards,FMR,3,2002-11-25
1f71f2efe7c80b110308ff573d434dc7,"Shonen Jump Vol. 1, Issue 1 promotional card",JMP,1,2002-11-26
1502af8b651a37a72c5b12f676a02c9b,McDonald's Promotional Cards,MP1,15,2002-12-20
2dd8db4821a3b40d4ee430c00a9ae2ed,Duelist League Series 1 participation cards,DL1,4,2003-01-01
a287ea4287adf9a7f856017927969034,Yu-Gi-Oh! The Duelists of the Roses promotional cards,DOR,6,2003-02-16
d200ae4e449f181bf44980005fd109da,Labyrinth of Nightmare,LON,315,2003-03-01
9332d22b75a93d88f2c243f6b901239f,Tournament Pack: 3rd Season,TP3,20,2003-03-01
f1ea9ca7056002cd455126d9b1a8d415,Starter Deck: Joey,SDJ,50,2003-03-30
b907e796dcb4170016d887a9f7bfe89c,Starter Deck: Pegasus,SDP,50,2003-03-30
4d9ef5954900cb70e011a0e66b91bac4,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel promotional cards,SDD,6,2003-04-15
31e4c44e64a36366a45bd876f58ecf87,Legacy of Darkness,LOD,202,2003-06-06
e3a8225277580d9dac45d0e20f00b46a,Pharaonic Guardian,PGD,108,2003-07-18
7d722ae9091f636deb75655461cd8f45,Collectible Tins 2003,BPT,6,2003-09-01
5abdbb11b77fea2c353ce1b60f93b673,Tournament Pack 4,TP4,20,2003-10-01
9a10b12dc9c4bdc3d9af76cb0499d8f8,Magician's Force,MFC,108,2003-10-10
